,propertyLink,dateAdded,propertyTypeRaw,propertyType,propertyAddress,propertyPrice,propertyAgency,propertyNumber,dateScraped
24,https://www.rightmove.co.uk/properties/118042820#/?channel=RES_BUY,Added on 21/06/2021 ,3 bedroom detached house for sale,detached,"Clent View, Haden Cross, Cradley Heath",335000,"Connells, Halesowen",0121 396 0379,2021-12-29 18:34:25.736971
25,https://www.rightmove.co.uk/properties/118042595#/?channel=RES_BUY,Added on 17/09/2021 ,4 bedroom detached house for sale,detached,"Cherry Tree Lane, HALESOWEN",465000,"Connells, Halesowen",0121 396 0379,2021-12-29 18:34:25.736971
26,https://www.rightmove.co.uk/properties/118042418#/?channel=RES_BUY,Added on 26/12/2021 ,3 bedroom semi-detached house for sale,detached,"Clent View, Haden Cross, Cradley Heath",325000,"Connells, Halesowen",0121 396 0379,2021-12-29 18:34:25.736971
27,https://www.rightmove.co.uk/properties/118132856#/?channel=RES_BUY,Added today ,5 bedroom end of terrace house for sale,terrace,"Long Lane, Halesowen",325000,"Connells, Halesowen",0121 396 0379,2021-12-29 18:34:25.736971
28,https://www.rightmove.co.uk/properties/111593123#/?channel=RES_BUY,Reduced on 04/11/2021 ,4 bedroom semi-detached house for sale,detached,"HALESOWEN, Kent Road",315000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
29,https://www.rightmove.co.uk/properties/116413844#/?channel=RES_BUY,Added on 16/11/2021 ,3 bedroom semi-detached house for sale,detached,"Furlong Lane, Halesowen, B63",300000,"Purplebricks, covering Birmingham",02475 060293,2021-12-29 18:34:25.736971
30,https://www.rightmove.co.uk/properties/118028390#/?channel=RES_BUY,Added on 26/12/2021 ,3 bedroom link detached house for sale,detached,"Banners Lane, Halesowen",300000,"A P Morgan Estate Agents, Halesowen",0121 396 0843,2021-12-29 18:34:25.736971
31,https://www.rightmove.co.uk/properties/114665789#/?channel=RES_BUY,Added on 11/10/2021 ,3 bedroom detached house for sale,detached,"HALESOWEN, Mogul Lane",295000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
32,https://www.rightmove.co.uk/properties/83005029#/?channel=RES_BUY,Added on 15/12/2021 ,3 bedroom semi-detached house for sale,detached,"Fairfield Road, Halesowen, B62",290000,"Purplebricks, covering Birmingham",02475 060293,2021-12-29 18:34:25.736971
33,https://www.rightmove.co.uk/properties/83001882#/?channel=RES_BUY,Added on 15/12/2021 ,3 bedroom semi-detached house for sale,detached,"Ashfield Grove,Halesowen,B63 4LH",290000,"eXp UK, West Midlands",03304 609968,2021-12-29 18:34:25.736971
34,https://www.rightmove.co.uk/properties/113493707#/?channel=RES_BUY,Added on 15/09/2021 ,2 bedroom bungalow for sale,bungalow,"Long Lane, Halesowen, B62",280000,"Tom Giles & Co, Oldbury",0121 396 0612,2021-12-29 18:34:25.736971
35,https://www.rightmove.co.uk/properties/116001524#/?channel=RES_BUY,Added on 08/11/2021 ,3 bedroom terraced house for sale,terrace,"76, 76A & 76B Halesowen Street",280000,"Bloore King & Kavanagh, Halesowen",0121 396 0482,2021-12-29 18:34:25.736971
36,https://www.rightmove.co.uk/properties/115778399#/?channel=RES_BUY,Reduced on 22/12/2021 ,3 bedroom detached bungalow for sale,detached,"Gleads Croft, Halesowen",280000,"Lex Allan Grove, Halesowen",0121 396 0563,2021-12-29 18:34:25.736971
37,https://www.rightmove.co.uk/properties/102824267#/?channel=COM_BUY,Marketed ,Land for sale,land,"Tanhouse Lane, Halesowen",275000,"Connells, Halesowen",0121 396 0379,2021-12-29 18:34:25.736971
38,https://www.rightmove.co.uk/properties/115079501#/?channel=RES_BUY,Reduced on 17/11/2021 ,3 bedroom detached house for sale,detached,"Halesowen Street,Rowley Regis,B65 0HE",270000,"eXp UK, West Midlands",03304 609968,2021-12-29 18:34:25.736971
39,https://www.rightmove.co.uk/properties/116383121#/?channel=RES_BUY,Reduced on 11/12/2021 ,3 bedroom detached house for sale,detached,"Belle Vale, Halesowen",270000,"Lex Allan Grove, Halesowen",0121 396 0563,2021-12-29 18:34:25.736971
40,https://www.rightmove.co.uk/properties/82667406#/?channel=RES_BUY,Added on 25/11/2021 ,End of terrace house for sale,terrace,"Halesowen Road, Cradley Heath, West Midlands, B64",270000,"Dixons, Halesowen",0121 396 0418,2021-12-29 18:34:25.736971
41,https://www.rightmove.co.uk/properties/116347124#/?channel=RES_BUY,Reduced on 13/12/2021 ,3 bedroom detached house for sale,detached,"Belle Vale, Halesowen",270000,"Bloore King & Kavanagh, Halesowen",0121 396 0482,2021-12-29 18:34:25.736971
42,https://www.rightmove.co.uk/properties/112235591#/?channel=RES_BUY,Reduced on 07/09/2021 ,3 bedroom detached house for sale,detached,"HALESOWEN, Snowdon Grove",269995,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
43,https://www.rightmove.co.uk/properties/114336827#/?channel=RES_BUY,Added on 02/10/2021 ,2 bedroom semi-detached house for sale,detached,"Holmstead Cottage, Corngreaves Road, Cradley Heath",260000,"A P Morgan Estate Agents, Halesowen",0121 396 0843,2021-12-29 18:34:25.736971
44,https://www.rightmove.co.uk/properties/114050927#/?channel=RES_BUY,Reduced on 19/11/2021 ,2 bedroom detached bungalow for sale,detached,"HALESOWEN, Mayfield Road",260000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
45,https://www.rightmove.co.uk/properties/111301169#/?channel=RES_BUY,Added on 02/08/2021 ,3 bedroom detached house for sale,detached,"New John Street, Halesowen, B62",255000,"Purplebricks, covering Birmingham",02475 060293,2021-12-29 18:34:25.736971
46,https://www.rightmove.co.uk/properties/115877153#/?channel=RES_BUY,Reduced on 03/12/2021 ,3 bedroom semi-detached house for sale,detached,"Kempsey Close, Halesowen",254000,"Lex Allan Grove, Halesowen",0121 396 0563,2021-12-29 18:34:25.736971
47,https://www.rightmove.co.uk/properties/111938927#/?channel=RES_BUY,Reduced on 28/09/2021 ,3 bedroom semi-detached house for sale,detached,"Blagdon Road, Halesowen",250000,"A P Morgan Estate Agents, Halesowen",0121 396 0843,2021-12-29 18:34:25.736971
48,https://www.rightmove.co.uk/properties/118042535#/?channel=RES_BUY,Added on 26/12/2021 ,3 bedroom semi-detached house for sale,detached,"Summit Gardens, Halesowen",250000,"Connells, Halesowen",0121 396 0379,2021-12-29 18:34:25.736971
49,https://www.rightmove.co.uk/properties/106835930#/?channel=RES_BUY,Added on 13/05/2021 ,4 bedroom end of terrace house for sale,terrace,"Olive Lane, Halesowen",250000,"Connells, Halesowen",0121 396 0379,2021-12-29 18:34:25.736971
50,https://www.rightmove.co.uk/properties/118042418#/?channel=RES_BUY,Added on 26/12/2021 ,3 bedroom semi-detached house for sale,detached,"Clent View, Haden Cross, Cradley Heath",325000,"Connells, Halesowen",0121 396 0379,2021-12-29 18:34:25.736971
51,https://www.rightmove.co.uk/properties/114712790#/?channel=RES_BUY,Added on 12/10/2021 ,2 bedroom semi-detached house for sale,detached,"Woodland Road, Halesowen",250000,"The Avenue, Covering Midlands",03339 875815,2021-12-29 18:34:25.736971
52,https://www.rightmove.co.uk/properties/115509794#/?channel=RES_BUY,Reduced on 23/12/2021 ,2 bedroom detached bungalow for sale,detached,"Church Street, Blackheath, Halesowen",250000,"A P Morgan Estate Agents, Halesowen",0121 396 0843,2021-12-29 18:34:25.736971
53,https://www.rightmove.co.uk/properties/117551924#/?channel=RES_BUY,Added on 13/12/2021 ,3 bedroom semi-detached house for sale,detached,"HALESOWEN, Claines Road",249950,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
54,https://www.rightmove.co.uk/properties/117593468#/?channel=RES_BUY,Reduced on 20/12/2021 ,3 bedroom semi-detached house for sale,detached,"Firth Park Crescent, Halesowen",245000,"Good Move, Leeds",0113 451 0411,2021-12-29 18:34:25.736971
55,https://www.rightmove.co.uk/properties/118042673#/?channel=RES_BUY,Added on 26/12/2021 ,3 bedroom semi-detached house for sale,detached,"Honeybourne Road, Halesowen",240000,"Connells, Halesowen",0121 396 0379,2021-12-29 18:34:25.736971
56,https://www.rightmove.co.uk/properties/114554186#/?channel=RES_BUY,Added on 08/10/2021 ,3 bedroom terraced house for sale,terrace,"Long Mynd, Halesowen",240000,"Lex Allan Grove, Halesowen",0121 396 0563,2021-12-29 18:34:25.736971
57,https://www.rightmove.co.uk/properties/117543746#/?channel=RES_BUY,Added on 13/12/2021 ,3 bedroom terraced house for sale,terrace,"Carpenter Glade, Halesowen, West Midlands, B63",240000,"Dixons, Halesowen",0121 396 0418,2021-12-29 18:34:25.736971
58,https://www.rightmove.co.uk/properties/117387218#/?channel=RES_BUY,Added on 09/12/2021 ,3 bedroom semi-detached house for sale,detached,"Newfield Lane, Halesowen",240000,"A P Morgan Estate Agents, Halesowen",0121 396 0843,2021-12-29 18:34:25.736971
59,https://www.rightmove.co.uk/properties/117067859#/?channel=RES_BUY,Added on 30/11/2021 ,3 bedroom town house for sale,other,"Iverley Road, Halesowen",240000,"Lex Allan Grove, Halesowen",0121 396 0563,2021-12-29 18:34:25.736971
60,https://www.rightmove.co.uk/properties/112244588#/?channel=RES_BUY,Reduced on 27/09/2021 ,3 bedroom terraced house for sale,terrace,"Long Mynd, Halesowen",240000,"Bloore King & Kavanagh, Halesowen",0121 396 0482,2021-12-29 18:34:25.736971
61,https://www.rightmove.co.uk/properties/111938240#/?channel=RES_BUY,Reduced on 10/11/2021 ,2 bedroom bungalow for sale,bungalow,"Chantry Drive, Halesowen, B62",240000,"Scriven & Co, Quinton",0121 396 0514,2021-12-29 18:34:25.736971
62,https://www.rightmove.co.uk/properties/116107046#/?channel=RES_BUY,Added on 10/11/2021 ,2 bedroom semi-detached house for sale,detached,"Clent View, Haden Cross, Cradley Heath",230000,"Connells, Halesowen",0121 396 0379,2021-12-29 18:34:25.736971
63,https://www.rightmove.co.uk/properties/117896765#/?channel=RES_BUY,Added on 22/12/2021 ,3 bedroom semi-detached house for sale,detached,"Mendip Road, Halesowen",230000,"A P Morgan Estate Agents, Halesowen",0121 396 0843,2021-12-29 18:34:25.736971
