,propertyLink,dateAdded,propertyTypeRaw,propertyType,propertyAddress,propertyPrice,propertyAgency,propertyNumber,dateScraped
108,https://www.rightmove.co.uk/properties/112611164#/?channel=RES_BUY,Reduced on 23/12/2021 ,2 bedroom semi-detached house for sale,detached,"Butchers Lane, Halesowen",125000,"A P Morgan Estate Agents, Halesowen",0121 396 0843,2021-12-29 18:34:25.736971
109,https://www.rightmove.co.uk/properties/104599556#/?channel=RES_BUY,Added on 16/12/2021 ,2 bedroom flat for sale,other,"HALESOWEN, Haden Arch Court",105000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
110,https://www.rightmove.co.uk/properties/111316535#/?channel=RES_BUY,Added on 02/08/2021 ,2 bedroom maisonette for sale,other,"Grange Crescent, Halesowen",100000,"A P Morgan Estate Agents, Halesowen",0121 396 0843,2021-12-29 18:34:25.736971
111,https://www.rightmove.co.uk/properties/113345630#/?channel=RES_BUY,Added on 11/09/2021 ,1 bedroom flat for sale,other,"Netherend Lane, Halesowen, B63",100000,"Purplebricks, covering Birmingham",02475 060293,2021-12-29 18:34:25.736971
112,https://www.rightmove.co.uk/properties/87265649#/?channel=RES_BUY,Added on 06/12/2019 ,1 bedroom flat for sale,other,"Bloomfield Street West, Halesowen",99950,"Lex Allan Grove, Halesowen",0121 396 0563,2021-12-29 18:34:25.736971
113,https://www.rightmove.co.uk/properties/82666821#/?channel=RES_BUY,Added on 25/11/2021 ,2 bedroom flat for sale,other,"Hill Street, Halesowen",95000,"Connells, Halesowen",0121 396 0379,2021-12-29 18:34:25.736971
114,https://www.rightmove.co.uk/properties/82455315#/?channel=RES_BUY,Added on 10/11/2021 ,2 bedroom apartment for sale,apartment,"Worcester House, Halesowen, B63",95000,"Hicks Hadley, Halesowen",0121 396 0594,2021-12-29 18:34:25.736971
115,https://www.rightmove.co.uk/properties/117339470#/?channel=RES_BUY,Added on 08/12/2021 ,1 bedroom flat for sale,other,"Brett Young Close, Halesowen",95000,"Lex Allan Grove, Halesowen",0121 396 0563,2021-12-29 18:34:25.736971
116,https://www.rightmove.co.uk/properties/117944714#/?channel=RES_BUY,Added on 23/12/2021 ,1 bedroom flat for sale,other,"HALESOWEN, Hamilton Avenue",95000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
117,https://www.rightmove.co.uk/properties/117620489#/?channel=RES_BUY,Added on 14/12/2021 ,1 bedroom apartment for sale,apartment,"Halesowen Road, Halesowen, West Midlands, B62",90000,"SOLD.CO.UK, London",020 8012 5320,2021-12-29 18:34:25.736971
118,https://www.rightmove.co.uk/properties/107112641#/?channel=RES_BUY,Added on 17/05/2021 ,1 bedroom flat for sale,other,"New England, Halesowen",90000,"A P Morgan Estate Agents, Halesowen",0121 396 0843,2021-12-29 18:34:25.736971
119,https://www.rightmove.co.uk/properties/114182429#/?channel=RES_BUY,Added on 29/09/2021 ,3 bedroom flat for sale,other,"Avon Road, Halesowen, B63",90000,"Purplebricks, covering Birmingham",02475 060293,2021-12-29 18:34:25.736971
120,https://www.rightmove.co.uk/properties/116058923#/?channel=RES_BUY,Added on 09/11/2021 ,1 bedroom maisonette for sale,other,"Richmond Court, Thornhill Road, Halesowen",89950,"Bloore King & Kavanagh, Halesowen",0121 396 0482,2021-12-29 18:34:25.736971
121,https://www.rightmove.co.uk/properties/117716561#/?channel=RES_BUY,Added on 17/12/2021 ,1 bedroom flat for sale,other,"Glynn Crescent, Halesowen",35000,"Connells, Halesowen",0121 396 0379,2021-12-29 18:34:25.736971
122,https://www.rightmove.co.uk/properties/116051714#/?channel=COM_BUY,Marketed ,Land for sale,land,"Land at Haden Hill Road, Halesowen B62 8AA",22000,"SDL Property Auctions, Nationwide",03452 220197,2021-12-29 18:34:25.736971
123,https://www.rightmove.co.uk/properties/106432940#/?channel=RES_BUY,Reduced on 19/08/2021 ,2 bedroom detached bungalow for sale,detached,"HALESOWEN, Holcroft Road",225000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
124,https://www.rightmove.co.uk/properties/113533706#/?channel=RES_BUY,Added on 15/09/2021 ,2 bedroom terraced house for sale,terrace,"Feldon Lane, Halesowen, West Midlands, B62",160000,"Hicks Hadley, Halesowen",0121 396 0594,2021-12-29 18:34:25.736971
125,https://www.rightmove.co.uk/properties/108780470#/?channel=RES_BUY,Added on 14/06/2021 ,1 bedroom retirement property for sale,other,"Spies Lane, Halesowen",150000,"A P Morgan Estate Agents, Halesowen",0121 396 0843,2021-12-29 18:34:25.736971
126,https://www.rightmove.co.uk/properties/114430592#/?channel=RES_BUY,Added on 06/10/2021 ,2 bedroom terraced house for sale,terrace,"HALESOWEN, Cherry Street",150000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
127,https://www.rightmove.co.uk/properties/115887329#/?channel=RES_BUY,Added on 05/11/2021 ,1 bedroom flat for sale,other,"HALESOWEN, Spies Lane",150000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
128,https://www.rightmove.co.uk/properties/117908276#/?channel=RES_BUY,Added on 24/09/2021 ,2 bedroom house for sale,other,"Albert Road, Halesowen, B63",149950,"The Online Property Agency, Birmingham",0121 396 0171,2021-12-29 18:34:25.736971
129,https://www.rightmove.co.uk/properties/112540850#/?channel=RES_BUY,Added on 27/08/2021 ,2 bedroom semi-detached house for sale,detached,"Butchers Lane, Halesowen",135000,"Bloore King & Kavanagh, Halesowen",0121 396 0482,2021-12-29 18:34:25.736971
130,https://www.rightmove.co.uk/properties/82162413#/?channel=RES_BUY,Reduced on 22/11/2021 ,1 bedroom flat for sale,other,"HALESOWEN, Lyttleton House",125000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
131,https://www.rightmove.co.uk/properties/112611164#/?channel=RES_BUY,Reduced on 23/12/2021 ,2 bedroom semi-detached house for sale,detached,"Butchers Lane, Halesowen",125000,"A P Morgan Estate Agents, Halesowen",0121 396 0843,2021-12-29 18:34:25.736971
132,https://www.rightmove.co.uk/properties/104599556#/?channel=RES_BUY,Added on 16/12/2021 ,2 bedroom flat for sale,other,"HALESOWEN, Haden Arch Court",105000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
133,https://www.rightmove.co.uk/properties/111316535#/?channel=RES_BUY,Added on 02/08/2021 ,2 bedroom maisonette for sale,other,"Grange Crescent, Halesowen",100000,"A P Morgan Estate Agents, Halesowen",0121 396 0843,2021-12-29 18:34:25.736971
134,https://www.rightmove.co.uk/properties/113345630#/?channel=RES_BUY,Added on 11/09/2021 ,1 bedroom flat for sale,other,"Netherend Lane, Halesowen, B63",100000,"Purplebricks, covering Birmingham",02475 060293,2021-12-29 18:34:25.736971
135,https://www.rightmove.co.uk/properties/87265649#/?channel=RES_BUY,Added on 06/12/2019 ,1 bedroom flat for sale,other,"Bloomfield Street West, Halesowen",99950,"Lex Allan Grove, Halesowen",0121 396 0563,2021-12-29 18:34:25.736971
136,https://www.rightmove.co.uk/properties/82666821#/?channel=RES_BUY,Added on 25/11/2021 ,2 bedroom flat for sale,other,"Hill Street, Halesowen",95000,"Connells, Halesowen",0121 396 0379,2021-12-29 18:34:25.736971
137,https://www.rightmove.co.uk/properties/82455315#/?channel=RES_BUY,Added on 10/11/2021 ,2 bedroom apartment for sale,apartment,"Worcester House, Halesowen, B63",95000,"Hicks Hadley, Halesowen",0121 396 0594,2021-12-29 18:34:25.736971
138,https://www.rightmove.co.uk/properties/117339470#/?channel=RES_BUY,Added on 08/12/2021 ,1 bedroom flat for sale,other,"Brett Young Close, Halesowen",95000,"Lex Allan Grove, Halesowen",0121 396 0563,2021-12-29 18:34:25.736971
139,https://www.rightmove.co.uk/properties/117944714#/?channel=RES_BUY,Added on 23/12/2021 ,1 bedroom flat for sale,other,"HALESOWEN, Hamilton Avenue",95000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
140,https://www.rightmove.co.uk/properties/117620489#/?channel=RES_BUY,Added on 14/12/2021 ,1 bedroom apartment for sale,apartment,"Halesowen Road, Halesowen, West Midlands, B62",90000,"SOLD.CO.UK, London",020 8012 5320,2021-12-29 18:34:25.736971
141,https://www.rightmove.co.uk/properties/107112641#/?channel=RES_BUY,Added on 17/05/2021 ,1 bedroom flat for sale,other,"New England, Halesowen",90000,"A P Morgan Estate Agents, Halesowen",0121 396 0843,2021-12-29 18:34:25.736971
142,https://www.rightmove.co.uk/properties/114182429#/?channel=RES_BUY,Added on 29/09/2021 ,3 bedroom flat for sale,other,"Avon Road, Halesowen, B63",90000,"Purplebricks, covering Birmingham",02475 060293,2021-12-29 18:34:25.736971
143,https://www.rightmove.co.uk/properties/116058923#/?channel=RES_BUY,Added on 09/11/2021 ,1 bedroom maisonette for sale,other,"Richmond Court, Thornhill Road, Halesowen",89950,"Bloore King & Kavanagh, Halesowen",0121 396 0482,2021-12-29 18:34:25.736971
144,https://www.rightmove.co.uk/properties/117716561#/?channel=RES_BUY,Added on 17/12/2021 ,1 bedroom flat for sale,other,"Glynn Crescent, Halesowen",35000,"Connells, Halesowen",0121 396 0379,2021-12-29 18:34:25.736971
145,https://www.rightmove.co.uk/properties/116051714#/?channel=COM_BUY,Marketed ,Land for sale,land,"Land at Haden Hill Road, Halesowen B62 8AA",22000,"SDL Property Auctions, Nationwide",03452 220197,2021-12-29 18:34:25.736971
